,writer,titles,links,common_phrase,Text,Main_Actors,Main_actors_count,Role_names,Place,Lighting,lang
10,Nair_gh,Kargin Haghordum sketch 427 (Hayko Mko),https://www.youtube.com/watch?v=gDUYrHF4s14&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=28&t=0s,"ախպեր ինձ տարեք հիվանդանոց էլի, տղեք ջան ինձ տարեք հիվանդանոց էլի; Ապե լավ երևի մեկից հարցնեմ, լսի հլը դու ստե ստոլբից բռնվի,  ես հեսա գալիս եմ, արա ստոլբ,  էս ես էլ եմ վատանում;, ապեր էս ծառաստոլբից բռնվի հեսա գալիս եմ; Մի անգամ էլ ինձ մորքուր ասիր մի րոպեից հաստատ ընդե կլնես;","Ապեր էս ինչ լավն էր;Հա, ախպեր բոմբ էր, ով էր տվել որ; 3-րդ մասցի Տանկը; Ապե բայց լավ արինք է որ ստե էկանք; Ապե ստե ցենտր տեղ ա, մարդ չկա, տալդա, քո դվիժենին անում ես, վայելում ես ախպեր; Ախպեր հա լավ ա որ լավ տեղ ա, բայց  մի բան չեմ ջոգում, էսքան ստոլբա խի են կանգնցրե ստեղ ապեր; Ապե ուր ա ստե ստոլբա; Ոնց ախպեր, հեսա ընգեր, հենա ախպեր, հեն ա ապեր, մի բան չեմ ջոգում էս որ սենց բերել էս ստոլբեքը շարել են, ասա էն վերևի ֆանարները խի չեն դրե որ; Ապե էս կարող ա դու լավ չես; Ախպեր ես բեսամտ լավ եմ ընգեր; Բա ոչինչ որ էս սաղ ստոլբեք չի,  էսի սաղ ծառ ա; Ոնց ախպեր, հաստատ; Հարուր տոկոս; Ծառ, ախպեր ուրեմն ես բեսամտ վատ եմ, ախպեր ինձ տարեք հիվանդանոց էլի, տղեք ջան ինձ տարեք հիվանդանոց էլի; Ինչ տղեք այ ախպեր ջան, ես մենակով եմ դեմդ կանգնած; Մենակով ախպեր, ախպեր ուրեմն ես վապշե վատ եմ, արա տղեք ջան ինձ տար հիվանդանոց էլի ցավդ տանեմ; Ախպեր կտանենք, կտանենք սպասի հլը ստե իմանանք ուրդե ենք, ստե հիվանդանոց ուրդե կա; Ապե լավ երևի մեկից հարցնեմ, լսի հլը դու ստե ստոլբից բռնվի,  ես հեսա գալիս եմ, արա ստոլբ,  էս ես էլ եմ վատանում;, ապեր էս ծառաստոլբից բռնվի հեսա գալիս եմ; Մորքուր, մորքուր ջան,  արա չի լսում, մորքուր, չես լսում; Մորքուր, մորքուր ջան ստուց ոնց կարանք վռազ հասնենք հիվանդանոց; Մի անգամ էլ ինձ մորքուր ասիր մի րոպեից հաստատ ընդե կլնես;","Հայկո, Անդո, Մկո",3,Ոչ մի,Բնության գիրկ,լուսավոր,հայերեն
11,Nair_gh,Kargin Haghordum sketch 428 (Hayko Mko),https://www.youtube.com/watch?v=7-ecmDcVc08&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=29&t=0s,,,"Հայկո, Մկո",2,Ոչ մի,Տուն,լուսավոր,հայերեն
12,Nair_gh,Kargin Haghordum sketch 429 (Hayko Mko),https://www.youtube.com/watch?v=RcTQt_nnpbA&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=30&t=0s,,,"Հայկո, Մկո",2,Ոչ մի,Այլ(գրեք ավելացնենք),լուսավոր,հայերեն
13,Nair_gh,Kargin Haghordum sketch 430 (Hayko Mko),https://www.youtube.com/watch?v=sSIXTq8KlTw&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=31&t=0s,,,"Հայկո, Մկո, Նազենի",3,"Այծեմիկ, Սուլեյման",Անապատ,լուսավոր,հայերեն
14,Nair_gh,Kargin Haghordum sketch 431 (Hayko Mko),https://www.youtube.com/watch?v=T9eF1pzS0Gw&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=32&t=0s,,,"Հայկո, Մկո... ",3,Հեղինե... ,Այլ(գրեք ավելացնենք),մութ հետո լուսավոր,հայերեն
15,Nair_gh,Kargin Haghordum sketch 432 (Hayko Mko),https://www.youtube.com/watch?v=SWF0HecSwYA&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=33&t=0s,,,"Հայկո, Մկո",2,Ոչ մի,Տուն,լուսավոր,հայերեն
16,Nair_gh,Kargin Haghordum sketch 433 (Hayko Mko),https://www.youtube.com/watch?v=d3AsbzNxb5c&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=34&t=0s,,,"Հայկո, Մկո",2,Էդիկ,Այլ(գրեք ավելացնենք),լուսավոր,հայերեն
17,Nair_gh,Kargin Haghordum sketch 434 (Hayko Mko),https://www.youtube.com/watch?v=Ib9yBOygb0w&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=35&t=0s,,,"Հայկո, Մկո",2,Վիտալիկ ձյաձյա,Տուն,լուսավոր,հայերեն
18,Nair_gh,Kargin Haghordum sketch 435 (Hayko Mko),https://www.youtube.com/watch?v=BpMQ8COre60&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=36&t=0s,,,"Հայկո, Մկո, ",3,"Հովո, Զավեն",Հիվանդանոց,լուսավոր,հայերեն
19,Nair_gh,Kargin Haghordum sketch 436 (Hayko Mko),https://www.youtube.com/watch?v=qwoJ8e5gQ1M&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=37&t=0s,,,Մկո,1 ու էլի մի խումբ մարդիկ,Ոչ մի,Այլ(գրեք ավելացնենք),լուսավոր,հայերեն
20,Nair_gh,Kargin Haghordum sketch 437 (Hayko Mko),https://www.youtube.com/watch?v=CkZ0ApWf49s&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=38&t=0s,,,"Հայկո, Մկո",3,պրն Սեդրակյան,Այլ(գրեք ավելացնենք),լուսավոր,հայերեն+անգլերեն
21,Nair_gh,Kargin Haghordum sketch 438 (Hayko Mko),https://www.youtube.com/watch?v=WVWD4XSgcgs&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=39&t=0s,,,"Հայկո, Մկո",2,Ոչ մի,Բնության գիրկ,լուսավոր,հայերեն
22,Nair_gh,Kargin Haghordum sketch 439 (Hayko Mko),https://www.youtube.com/watch?v=qjMR_AJZwLc&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=40&t=0s,,,"Հայկո, Մկո",2,Ստյոպ,Բնության գիրկ,լուսավոր,հայերեն
23,Nair_gh,Kargin Haghordum sketch 440 (Hayko Mko),https://www.youtube.com/watch?v=vYkDOl0_-vs&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=41&t=0s,,,"Հայկո, Մկո",2,Ոչ մի,Բնության գիրկ,լուսավոր,հայերեն
24,anmkhitaryan,Kargin Haghordum sketch 441 (Hayko Mko),https://www.youtube.com/watch?v=mP36bTMUBUU&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=42&t=0s,Թռնելը թռնում ա բայց երեխա էլ կյանքում չի ունենա,"Ախպեր տեսաք էն բադին ոնց կրակի 100 մետրից նենց ցավացրի բադ ըլնեմ 3 կտոր եղավ; Բա էդ ա կրակելը երեկ պտի գայիր տենայիր ախպերդ ինչ կրակել ա կրակմ էն 100 տարվա հրացանս կար պապհորս չուլանը որ քցած ա մի հատ հարիֆ եկել էր ուզում էր առներ ախպերդ ընենց թիվ կրակեց ու հետաքրքիրը գիտես որն ա ախպեր կպավ ախպեր ծախի հրացանը; Ախպեր մենք ստեղ որսորդությունից ենք խոսում դու դալալությունից ես խոսում կամ էլ դու ինչ ես բադ եմ խփել տեսանք խփածդ բադի չափերը էտի աշխարհի ամենամեծ բադն էր էտի բադ չէր է էտի Աշխաբադ էր իմ փոքր տղեն իրա ջրի պիստալետով կկպներ էդ բադին այ խփելը դուք հիմա տեսեք էն լուցկու տուփը տենում եք; Հա; Տենմ ենք; Դե հիմա տեսեք խփելը որն ա; Իա մալաձյաձ; Խփելը տենց ա ըլնում, թե չէ բադ բադ; Ա հմի կրակեե լավ ախպեր էսա ես ձեզ ցույց կտամ կրակելը որն ա 10 դրամի մանր ունեք ախպեր; Չունենք; դե էսա կունենաք հլը էսի վեկալ գցի օդը; Մալաձյաձ два արա ձեր հետ հարելի ա սերիալ նկարել; Հալալ ա ախպեր; Կրակիք դե հիմա նայեք կրակելը ոնց ա ըլնմ մոծակի ձենը լսմ եք; Հա; Հա ինչ էլի թռնում ա; Թռնելը թռնում ա բայց երեխա էլ կյանքում չի ունենա","Հայկո, Մկո, Աշոտ",3,Որսորդներ,Բնության գիրկ,լուսավոր,հայերեն
25,anmkhitaryan,Kargin Haghordum sketch 442 (Hayko Mko),https://www.youtube.com/watch?v=xVpyEOc0y_Y&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=43&t=0s,Սուրեն ես քո վրա զարմանում եմ եթե ուզում էիր մեկին սպանեիր էնա մնայիր հիվանդանոցում,Պրիվետ Արգամիչ ջան; Բարև Սուրեն; Ոնց անցավ հերթապահությունդ; Շատ լարված երկրորդ պալատի հիվանդի մոտ երիկամի պրիստուպ էր սկսվել; Երիկամը ինչ ա; Պոչկա Սուրեն; Հա պոչկա պոչկան շատ կարևոր օրգան ա պոչկան արյունն ա մաքրում как говорится почка санитар организма վերջը;  санитар организма վերջը էդ մարդուն հետազոտեցինք պարզվեց պոչկայի մեջ ահագին մեծ քար կա;  вот они что կտրեցիք գցեցիք չէ нафиг потому что պոչկայի մեջ քար это անբուժելի ա летальный исход; Բայց ինչի պիտի կտրեինք գցեինք լազերով մշակեցինք էդ քարը հիմա ավազի տեսքով մեզի հետ դուրս կգա; Ոնց մեր հիվանդանոցում լազեր կա; Արդեն 5 տարի ա Սուրեն; Հեհ ոնց ա թռնում ժամանակը չէ լազերը это однозначно ճիշտ ա թե չէ էդ կտրել գցելը շատ допотопный մեթոդ ա; Լավ Սուրեն արի էս մեր բժշկական թեմաները փակենք իզուր տեղը ինձ ներվայնացնում ես դու ավելի լավ ա ասա էն որսդ ոնց անցավ; Ա լավ էլի Արգամվիչ ջան էդ որսը լրիվ թարսություն էր առաջին օրը вышел кабана 3 ժամ ման եկա ման եկա հազիվ кабан գտա прицелился կրակեցի; Սպանեցիր; Տո չէ ցավդ տանեմ պարզվում ա հրացանի մեջ մոռացել քի պատրոն դնեի ասի լավ кабан-ը հեչ գնամ եղնիկի որսի 5 ժամ ման եկա ման եկա վերջը գտա մարալին прицелился արա մեկ էլ էդ պահին էս եղնիկը կնոջս հայացքով նայեց աչքերիս մեջ կրակեցի; հը սպանեցիր; տո չէ убежал стерве էլ չեմ ասում ոչ լոր ոչ ճագար դաժը մի հատ фазан չսպանեցի վոփշեմ էս 2 օրը իզուր անցավ պատկերացնում ես Արգամվիչ ոչ մեկին չսպանեցի; Սուրեն ես քո վրա զարմանում եմ եթե ուզում էիր մեկին սպանեիր էնա մնայիր հիվանդանոցում,"Հակյո, Մկո",2,"Սուրեն, Արգամվիչ",Հիվանդանոց,լուսավոր,հայերեն+ռուսերեն
